id,first_name,last_name,name,city,state,country,industry,lead_source,status,assigned_user_id,next_followup_date,created_at,updated_at,deleted_at
21f52362-6cbd-40e6-aebb-980e132edcb5,Yashica,Bawa,Yashica Bawa,Surat,Gujarat,India,Services,LinkedIn,Contacted,566164f0-b746-41f4-b85a-4806de2c294b,2026-05-25 13:51:14.737616,2026-01-26 05:07:23,2026-05-16 13:51:14.737763,
250acf29-cfd8-46de-a6a4-06a90c302b00,Veer,Ben,Veer Ben,Kochi,Kerala,India,Retail,Website,Qualified,8daeff47-fa6c-4ca6-a276-681e87f1e034,2026-05-21 13:51:14.737809,2026-02-03 13:16:50,2026-05-16 13:51:14.737866,
4deaf1db-4f0e-4161-b49d-ed99bb2e5447,Fariq,Dass,Fariq Dass,Kochi,Kerala,India,IT,JustDial,New,a479e5cf-9f94-4433-ad29-445f2f57265f,2026-05-27 13:51:14.737944,2026-04-21 14:47:54,2026-05-16 13:51:14.738005,
79f08ee1-ef8f-4528-9897-67ed6cf2d6d3,Leela,Dube,Leela Dube,Ahmedabad,Gujarat,India,IT,Website,Contacted,7a1b7ad6-e2d2-4e32-9902-ba4caebc581d,2026-05-31 13:51:14.738057,2026-04-17 10:10:15,2026-05-16 13:51:14.738115,
eaf40f3c-8242-4731-b26a-b1a9a9afb387,Wriddhish,Prakash,Wriddhish Prakash,Kochi,Kerala,India,Wholesale,Website,Contacted,e43d49a0-a034-48f7-8094-69c8ec022f41,2026-05-20 13:51:14.738142,2025-12-03 17:07:21,2026-05-16 13:51:14.738181,
4c071f66-461e-481e-a7cb-349a0e2aeccf,Ranbir,Gade,Ranbir Gade,Delhi,Delhi,India,Pharma,JustDial,New,f9140f89-9c0b-4ce1-8467-c50ef091fb7a,2026-05-19 13:51:14.738210,2026-03-12 11:36:58,2026-05-16 13:51:14.738246,
b6a621fc-4ce9-4aa9-8e6d-908376daea82,Jalsa,Pathak,Jalsa Pathak,Hyderabad,Telangana,India,Services,IndiaMART,Qualified,95287636-f2f6-4a35-8af3-a9fe68a5d1c0,2026-05-29 13:51:14.738285,2026-03-26 05:59:10,2026-05-16 13:51:14.738321,
7072f7fb-5e82-4b7e-992b-3e9a62e65561,Garima,Srinivasan,Garima Srinivasan,Hyderabad,Telangana,India,Wholesale,Referral,New,5adbfff5-e09e-439c-ac07-42c4619ce4f5,2026-05-30 13:51:14.738348,2026-01-13 20:39:57,2026-05-16 13:51:14.738384,
3234f359-0116-4181-8f8b-3a0d1ea673a8,Ikbal,Majumdar,Ikbal Majumdar,Mumbai,Maharashtra,India,Pharma,LinkedIn,Contacted,95287636-f2f6-4a35-8af3-a9fe68a5d1c0,2026-05-25 13:51:14.738408,2026-04-14 12:49:14,2026-05-16 13:51:14.738442,
9bb0a271-57a6-415a-b714-def5bb8a54ed,Shravya,Swamy,Shravya Swamy,Pune,Maharashtra,India,Retail,JustDial,Qualified,6f9c7382-0bb3-450e-aef4-dc8380654217,2026-05-24 13:51:14.738468,2026-05-03 01:32:56,2026-05-16 13:51:14.738500,
97e70e54-4e25-49c7-8f45-37b635bd7e16,Tripti,Kaul,Tripti Kaul,Surat,Gujarat,India,Services,JustDial,New,5adbfff5-e09e-439c-ac07-42c4619ce4f5,2026-06-05 13:51:14.738525,2026-04-17 01:36:55,2026-05-16 13:51:14.738557,
35d9085d-03ac-43ef-ba5d-0b759ac7b0f5,Bhavna,Kaur,Bhavna Kaur,Hyderabad,Telangana,India,IT,IndiaMART,New,b6493aae-776e-4baa-a4f2-3d0a8ebbd3a3,2026-05-24 13:51:14.738583,2025-12-12 12:54:15,2026-05-16 13:51:14.738615,
a34e0696-bb0f-4845-918b-4c46fc99d955,Yatin,Bawa,Yatin Bawa,Kochi,Kerala,India,Manufacturing,Referral,Contacted,5adbfff5-e09e-439c-ac07-42c4619ce4f5,2026-05-17 13:51:14.738640,2026-04-09 10:10:01,2026-05-16 13:51:14.738671,
5d1ba7d4-b8cb-4328-9985-68d70a4ea72a,Lakshmi,Sura,Lakshmi Sura,Bangalore,Karnataka,India,Logistics,IndiaMART,New,404d7654-52ae-4333-91d7-753b4d63789e,2026-05-25 13:51:14.738697,2026-02-04 17:15:09,2026-05-16 13:51:14.738740,
57727f1f-fd2d-46f1-9501-b9be481604fc,Charles,Iyer,Charles Iyer,Chennai,Tamil Nadu,India,Wholesale,Website,Qualified,e43d49a0-a034-48f7-8094-69c8ec022f41,2026-05-25 13:51:14.738761,2026-02-05 09:45:20,2026-05-16 13:51:14.738787,
ceca035f-2b57-451a-acaa-08c0a854b4c9,Yagnesh,Banik,Yagnesh Banik,Hyderabad,Telangana,India,Pharma,Website,Contacted,3c2514fb-429d-444a-bc6c-7c4a2ce757be,2026-06-01 13:51:14.738808,2026-02-12 07:20:33,2026-05-16 13:51:14.738834,
e8341827-7a22-48e3-a5ef-e067b5106863,Ikbal,Brahmbhatt,Ikbal Brahmbhatt,Bangalore,Karnataka,India,Logistics,Referral,New,95287636-f2f6-4a35-8af3-a9fe68a5d1c0,2026-05-26 13:51:14.738855,2026-03-12 21:23:19,2026-05-16 13:51:14.738881,
decd1d1b-88c0-4e81-ab40-5dcabbb49b0a,Ishaan,Garde,Ishaan Garde,Delhi,Delhi,India,Pharma,LinkedIn,Qualified,560f2adc-162e-473b-8cd1-0546376e74e9,2026-06-02 13:51:14.738902,2026-03-13 05:49:43,2026-05-16 13:51:14.738928,
370dde59-68f0-4449-8e07-4e36bba8cf34,Michael,Mital,Michael Mital,Mumbai,Maharashtra,India,Retail,IndiaMART,Contacted,3c2514fb-429d-444a-bc6c-7c4a2ce757be,2026-06-05 13:51:14.738948,2026-05-06 03:56:15,2026-05-16 13:51:14.738974,
8ae225d8-8678-4a1a-af65-2c8ae61be13e,Zilmil,Mangal,Zilmil Mangal,Hyderabad,Telangana,India,Services,Referral,Contacted,a5499ef3-1ed0-4e7d-b2d8-5e51f825a648,2026-06-05 13:51:14.738995,2026-03-13 05:58:43,2026-05-16 13:51:14.739020,
deacf12b-4a4e-4027-a2d1-a363dc3f7420,Azaan,Jani,Azaan Jani,Mumbai,Maharashtra,India,Manufacturing,Referral,Contacted,8daeff47-fa6c-4ca6-a276-681e87f1e034,2026-05-30 13:51:14.739040,2026-02-22 10:36:19,2026-05-16 13:51:14.739066,
b6c0739e-e04e-4a2c-a3d0-fc1cbb2a6f2f,Pooja,Aggarwal,Pooja Aggarwal,Mumbai,Maharashtra,India,IT,IndiaMART,Qualified,560f2adc-162e-473b-8cd1-0546376e74e9,2026-05-31 13:51:14.739086,2026-05-04 06:52:18,2026-05-16 13:51:14.739117,
a2f2b009-88bb-42f0-a138-31ba5958e264,Samesh,Mahal,Samesh Mahal,Nashik,Maharashtra,India,Pharma,LinkedIn,New,e441befa-88af-4f32-a4b7-caa2f90837a6,2026-05-22 13:51:14.739138,2025-12-06 02:59:06,2026-05-16 13:51:14.739164,
44e89b5d-27bf-48d2-9442-cb86446e52bf,Ekani,Kata,Ekani Kata,Delhi,Delhi,India,Pharma,IndiaMART,New,f8ad7ff5-bd31-4f9e-934f-a32327b5c155,2026-05-22 13:51:14.739185,2026-03-24 20:05:09,2026-05-16 13:51:14.739211,
a2f70a75-0775-4196-89ba-aae61c9b89df,Leela,Natt,Leela Natt,Ahmedabad,Gujarat,India,Services,Referral,Qualified,42050019-05f0-4de7-b45b-cea5eda7386f,2026-05-20 13:51:14.739231,2026-02-03 18:20:53,2026-05-16 13:51:14.739257,
0c761b5b-c86e-47a4-8410-840fcf918d89,Saanvi,Lad,Saanvi Lad,Bangalore,Karnataka,India,Services,Referral,Contacted,616ac0bf-be55-4a3c-aa34-f023ca00068f,2026-06-02 13:51:14.739278,2026-04-15 09:10:04,2026-05-16 13:51:14.739304,
