id,first_name,last_name,name,email,designation,department,city,state,status,created_at,updated_at,deleted_at
e75d85fc-9d80-421a-aa90-2624363de215,Jeremiah,Verma,Jeremiah Verma,tanish73@example.org,Sales Executive,Sales,Ahmedabad,Gujarat,Active,2026-05-16 13:51:14.692826,2026-05-16 13:51:14.692829,
5adbfff5-e09e-439c-ac07-42c4619ce4f5,Eshana,Bhagat,Eshana Bhagat,aryansane@example.org,Sales Manager,Sales,Bangalore,Karnataka,Active,2026-05-16 13:51:14.692922,2026-05-16 13:51:14.692923,
566164f0-b746-41f4-b85a-4806de2c294b,Kritika,Gopal,Kritika Gopal,noah17@example.org,Sales Executive,Sales,Mumbai,Maharashtra,Active,2026-05-16 13:51:14.692997,2026-05-16 13:51:14.692998,
42050019-05f0-4de7-b45b-cea5eda7386f,Christopher,Wadhwa,Christopher Wadhwa,binasibal@example.net,Senior Sales,Sales,Bangalore,Karnataka,Active,2026-05-16 13:51:14.693058,2026-05-16 13:51:14.693059,
08bef480-7ca7-4624-9756-6860f8fe8ba5,Neel,Ben,Neel Ben,gangaraval@example.net,Sales Manager,Sales,Surat,Gujarat,Active,2026-05-16 13:51:14.693119,2026-05-16 13:51:14.693119,
b6493aae-776e-4baa-a4f2-3d0a8ebbd3a3,Urmi,Sodhi,Urmi Sodhi,watikachar@example.net,Sales Manager,Sales,Bangalore,Karnataka,Active,2026-05-16 13:51:14.693177,2026-05-16 13:51:14.693178,
e43d49a0-a034-48f7-8094-69c8ec022f41,Tejas,Memon,Tejas Memon,fariqahuja@example.net,Sales Manager,Sales,Hyderabad,Telangana,Active,2026-05-16 13:51:14.693232,2026-05-16 13:51:14.693232,
6f9c7382-0bb3-450e-aef4-dc8380654217,Harish,Kalita,Harish Kalita,varughesebanjeet@example.net,Senior Sales,Sales,Bangalore,Karnataka,Active,2026-05-16 13:51:14.693294,2026-05-16 13:51:14.693295,
8daeff47-fa6c-4ca6-a276-681e87f1e034,Samarth,Rattan,Samarth Rattan,rprabhakar@example.com,Sales Executive,Sales,Bangalore,Karnataka,Active,2026-05-16 13:51:14.693348,2026-05-16 13:51:14.693348,
7a1b7ad6-e2d2-4e32-9902-ba4caebc581d,Sai,Char,Sai Char,idika39@example.net,Senior Sales,Sales,Bangalore,Karnataka,Active,2026-05-16 13:51:14.693401,2026-05-16 13:51:14.693402,
